typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,requestedYear,requestedMonth,requestedPeriod,requestedHSCode,productGroup,extractionMethod,extractedAtUTC
C,M,20230101,2023,1,202301,842,USA,USA,M,Import,36,AUS,Australia,0,W00,World,H6,HS,True,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,478.0,False,5,u,478.0,False,,False,0.0,False,56026.0,54971.0,56026.0,0,True,False,2023,1,202301,854231,Processors and controllers,previewFinalData,2026-07-17T03:27:51.239964+00:00
C,M,20230101,2023,1,202301,842,USA,USA,M,Import,40,AUT,Austria,0,W00,World,H6,HS,True,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,186993.0,False,5,u,186993.0,False,,False,0.0,False,279506.0,274372.0,279506.0,0,True,False,2023,1,202301,854231,Processors and controllers,previewFinalData,2026-07-17T03:27:51.239964+00:00
C,M,20230101,2023,1,202301,842,USA,USA,M,Import,56,BEL,Belgium,0,W00,World,H6,HS,True,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,51392.0,False,5,u,51392.0,False,,False,0.0,False,236275.0,231428.0,236275.0,0,True,False,2023,1,202301,854231,Processors and controllers,previewFinalData,2026-07-17T03:27:51.239964+00:00
C,M,20230101,2023,1,202301,842,USA,USA,M,Import,76,BRA,Brazil,0,W00,World,H6,HS,True,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,756.0,False,5,u,756.0,False,,False,0.0,False,37329.0,36719.0,37329.0,0,True,False,2023,1,202301,854231,Processors and controllers,previewFinalData,2026-07-17T03:27:51.239964+00:00
C,M,20230101,2023,1,202301,842,USA,USA,M,Import,100,BGR,Bulgaria,0,W00,World,H6,HS,True,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1054.0,False,5,u,1054.0,False,,False,0.0,False,53945.0,52927.0,53945.0,0,True,False,2023,1,202301,854231,Processors and controllers,previewFinalData,2026-07-17T03:27:51.239964+00:00
C,M,20230101,2023,1,202301,842,USA,USA,M,Import,116,KHM,Cambodia,0,W00,World,H6,HS,True,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,2924.0,False,5,u,2924.0,False,,False,0.0,False,6660.0,6585.0,6660.0,0,True,False,2023,1,202301,854231,Processors and controllers,previewFinalData,2026-07-17T03:27:51.239964+00:00
C,M,20230101,2023,1,202301,842,USA,USA,M,Import,124,CAN,Canada,0,W00,World,H6,HS,True,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,58677.0,False,5,u,58677.0,False,,False,0.0,False,19204172.0,19096898.0,19204172.0,0,True,False,2023,1,202301,854231,Processors and controllers,previewFinalData,2026-07-17T03:27:51.239964+00:00
C,M,20230101,2023,1,202301,842,USA,USA,M,Import,152,CHL,Chile,0,W00,World,H6,HS,True,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,7.0,False,5,u,7.0,False,,False,0.0,False,6301.0,6300.0,6301.0,0,True,False,2023,1,202301,854231,Processors and controllers,previewFinalData,2026-07-17T03:27:51.239964+00:00
C,M,20230101,2023,1,202301,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H6,HS,True,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,31323624.0,False,5,u,31323624.0,False,,False,0.0,False,89258530.0,87712340.0,89258530.0,0,True,False,2023,1,202301,854231,Processors and controllers,previewFinalData,2026-07-17T03:27:51.239964+00:00
C,M,20230101,2023,1,202301,842,USA,USA,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H6,HS,True,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,38268.0,False,5,u,38268.0,False,,False,0.0,False,1852305.0,1848935.0,1852305.0,0,True,False,2023,1,202301,854231,Processors and controllers,previewFinalData,2026-07-17T03:27:51.239964+00:00
